"variant_id","role","condition_key","binding_csv_line","production_path","evidence_file_line","unit","missing_behavior","judgement","note"
"E01","candidate","flow_price_divergence_active","363","NOT_AVAILABLE","snapshot_producer.py:214-219; condition_adapter.py:113-119","bool composite","omit","NOT_AVAILABLE","price/CVD divergence key is not synthesized"
"E01","candidate","cvd_change_5s","363","producer+adapter","snapshot_producer.py:154-180; condition_adapter.py:46-61","Decimal CVD units","omit","DIRECT","complete 5s window only"
"E01","candidate","cvd_slope_5s","363","producer+adapter","snapshot_producer.py:154-180; condition_adapter.py:46-61","Decimal CVD units/sec","omit","DIRECT","complete 5s window only"
"E01","candidate","upward_progress_ticks_1s","363","NOT_AVAILABLE","snapshot_producer.py:182-205","ticks","omit","NOT_AVAILABLE","not emitted"
"E01","candidate","downward_progress_ticks_1s","363","NOT_AVAILABLE","snapshot_producer.py:182-205","ticks","omit","NOT_AVAILABLE","not emitted"
"E01","contradiction","upside_breakout_follow_through","363","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no breakout synthesis"
"E01","contradiction","downside_breakout_follow_through","363","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no breakout synthesis"
"E02","candidate","bid_absorption_like_active","364","producer","snapshot_producer.py:68-83; pipeline.py:544-552","Decimal flag (1)","omit","DIRECT","BUY_ABSORPTION only"
"E02","candidate","ask_absorption_like_active","364","producer","snapshot_producer.py:68-83; pipeline.py:544-552","Decimal flag (1)","omit","DIRECT","SELL_ABSORPTION only"
"E02","candidate","buy_no_progress_ratio_1s","364","NOT_AVAILABLE","snapshot_producer.py:182-205","ratio","omit","NOT_AVAILABLE","not emitted"
"E02","candidate","sell_no_progress_ratio_1s","364","NOT_AVAILABLE","snapshot_producer.py:182-205","ratio","omit","NOT_AVAILABLE","not emitted"
"E02","contradiction","bid_passive_defense_failed","364","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no defense synthesis"
"E02","contradiction","ask_passive_defense_failed","364","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no defense synthesis"
"E03","candidate","upside_breakout_attempt","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","downside_breakout_attempt","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","upward_progress_ticks_1s","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","downward_progress_ticks_1s","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","bid_wall_concentration_top10","365","adapter","condition_adapter.py:65-87","ratio","omit","DIRECT","point-in-time only"
"E03","candidate","distance_to_nearest_bid_wall","365","adapter","condition_adapter.py:65-87","ticks","omit","DIRECT","point-in-time only"
"E03","candidate","ask_wall_concentration_top10","365","adapter","condition_adapter.py:65-87","ratio","omit","DIRECT","point-in-time only"
"E03","candidate","distance_to_nearest_ask_wall","365","adapter","condition_adapter.py:65-87","ticks","omit","DIRECT","point-in-time only"
"E03","candidate","bid_refresh_count_1s","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","bid_pull_ratio_1s","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","ask_refresh_count_1s","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","ask_pull_ratio_1s","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","bid_passive_defense_holding","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","ask_passive_defense_holding","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","bid_passive_defense_failed","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","candidate","ask_passive_defense_failed","365","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E03","contradiction","upside_breakout_failure","365","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no failure synthesis"
"E03","contradiction","downside_breakout_failure","365","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no failure synthesis"
"E03","contradiction","bid_passive_defense_failed","365","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no defense synthesis"
"E03","contradiction","ask_passive_defense_failed","365","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no defense synthesis"
"E98","candidate","open_interest_change_5m","368","NOT_AVAILABLE","condition_adapter.py:89-111; snapshot_producer.py:124-133","Decimal OI","omit","NOT_AVAILABLE","P2 does not supply oi_samples"
"E98","candidate","open_interest_pct_change_5m","368","NOT_AVAILABLE","condition_adapter.py:89-111; snapshot_producer.py:124-133","Decimal OI","omit","NOT_AVAILABLE","P2 does not supply oi_samples"
"E98","candidate","price_oi_joint_state_5m","368","NOT_AVAILABLE","condition_adapter.py:89-111; snapshot_producer.py:124-133","state","omit","NOT_AVAILABLE","P2 does not supply oi_samples"
"E98","candidate","bid_wall_concentration_top10","368","adapter","condition_adapter.py:65-87","ratio","omit","DIRECT","point-in-time only"
"E98","candidate","distance_to_nearest_bid_wall","368","adapter","condition_adapter.py:65-87","ticks","omit","DIRECT","point-in-time only"
"E98","candidate","ask_wall_concentration_top10","368","adapter","condition_adapter.py:65-87","ratio","omit","DIRECT","point-in-time only"
"E98","candidate","distance_to_nearest_ask_wall","368","adapter","condition_adapter.py:65-87","ticks","omit","DIRECT","point-in-time only"
"E98","candidate","bid_refresh_count_1s","368","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E98","candidate","bid_pull_ratio_1s","368","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E98","candidate","ask_refresh_count_1s","368","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E98","candidate","ask_pull_ratio_1s","368","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E98","candidate","bid_passive_defense_holding","368","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E98","candidate","ask_passive_defense_holding","368","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E98","candidate","bid_passive_defense_failed","368","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E98","candidate","ask_passive_defense_failed","368","NOT_AVAILABLE","snapshot_producer.py:124-152","undefined","omit","NOT_AVAILABLE","not emitted"
"E98","contradiction","open_interest_change_5m","368","NOT_AVAILABLE","condition_adapter.py:89-111","Decimal OI","omit","NOT_AVAILABLE","oi_samples absent"
"E98","contradiction","open_interest_pct_change_5m","368","NOT_AVAILABLE","condition_adapter.py:89-111","percent","omit","NOT_AVAILABLE","oi_samples absent"
"E98","contradiction","bid_passive_defense_failed","368","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no defense synthesis"
"E98","contradiction","ask_passive_defense_failed","368","NOT_AVAILABLE","snapshot_producer.py:124-152","bool composite","omit","NOT_AVAILABLE","no defense synthesis"
